Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),Location,Month,Day,DayOfWeek,Season,Dispersion,AQI,AQI_Category
01-01-2025,78.05,164.16,60.09,3.28,0.71,26.07,27.29,64.42,0.41,134.71,Mumbai,1,1,2,Winter,11.1889,159.0,Moderate
01-01-2025,56.32,130.42,35.06,1.07,0.75,21.89,24.68,70.26,1.77,216.24,Mira-Bhayandar,1,1,2,Winter,43.6836,121.0,Moderate
01-01-2025,42.73,92.71,23.89,7.28,0.62,52.86,27.04,61.2,1.44,147.43,Virar,1,1,2,Winter,38.9376,93.0,Satisfactory
01-01-2025,63.87,152.84,52.74,6.25,0.71,43.55,28.77,64.11,1.53,265.43,Belapur,1,1,2,Winter,44.0181,135.0,Moderate
01-01-2025,42.86,67.73,14.03,1.0,0.52,26.96,23.25,76.54,2.99,208.44,Dhule,1,1,2,Winter,69.5175,71.0,Satisfactory
01-01-2025,66.78,138.27,18.36,6.69,0.83,45.57,26.64,56.74,1.61,138.23,Bhiwandi,1,1,2,Winter,42.8904,126.0,Moderate
01-01-2025,48.35,106.7,12.3,14.57,0.75,40.3,25.56,90.85,0.69,184.6,Mahad,1,1,2,Winter,17.6364,105.0,Moderate
01-01-2025,34.58,74.5,25.14,5.04,0.54,60.94,26.36,64.79,0.94,137.47,Thane,1,1,2,Winter,24.7784,74.0,Satisfactory
01-01-2025,49.53,96.1,27.54,7.96,0.95,36.43,27.56,70.54,0.72,141.42,Badlapur,1,1,2,Winter,19.8432,96.0,Satisfactory
01-01-2025,51.79,110.17,4.86,4.05,0.16,15.7,26.51,67.45,0.8,155.97,Kalyan,1,1,2,Winter,21.208,107.0,Moderate
01-01-2025,44.88,114.45,4.48,8.39,0.74,40.88,29.04,63.11,0.92,133.54,Boisar,1,1,2,Winter,26.7168,110.0,Moderate
01-01-2025,60.83,130.47,21.17,4.47,0.37,20.73,23.38,52.41,0.43,132.49,Malegaon,1,1,2,Winter,10.0534,,Severe
01-01-2025,37.43,97.31,58.45,5.92,0.56,50.48,26.73,60.92,0.53,140.71,Parbhani,1,1,2,Winter,14.1669,97.0,Satisfactory
01-01-2025,49.66,119.18,11.74,6.79,0.84,45.31,24.72,64.96,0.4,114.84,Nashik,1,1,2,Winter,9.888,113.0,Moderate
01-01-2025,53.54,128.84,31.94,4.01,1.05,39.82,23.98,68.59,0.64,201.68,Aurangabad,1,1,2,Winter,15.3472,119.0,Moderate
01-01-2025,37.93,104.25,11.71,27.76,0.55,32.91,25.47,49.08,0.81,220.38,Chandrapur,1,1,2,Winter,20.6307,103.0,Moderate
01-01-2025,40.2,113.98,15.8,0.85,0.22,42.7,26.63,37.6,0.7,132.74,Jalna,1,1,2,Winter,18.641,110.0,Moderate
01-01-2025,37.93,104.25,11.71,27.76,0.55,32.91,25.47,49.08,0.81,220.38,Nagpur,1,1,2,Winter,20.6307,103.0,Moderate
01-01-2025,57.3,124.43,19.92,5.7,0.5,45.38,23.33,60.83,1.05,130.66,Jalgaon,1,1,2,Winter,24.4965,117.0,Moderate
01-01-2025,52.45,116.62,21.85,12.47,0.9,17.81,25.79,66.87,1.51,137.74,Akola,1,1,2,Winter,38.9429,111.0,Moderate
01-01-2025,71.86,90.26,24.61,5.48,0.7,72.64,27.95,59.28,0.83,98.98,Solapur,1,1,2,Winter,23.1985,138.0,Moderate
01-01-2025,43.88,95.34,19.25,1.59,0.81,42.79,23.29,65.44,0.48,159.72,Pune,1,1,2,Winter,11.1792,95.0,Satisfactory
01-01-2025,62.25,113.63,30.15,4.21,0.64,24.17,23.52,53.69,0.27,182.25,Latur,1,1,2,Winter,6.3504,109.0,Moderate
01-01-2025,62.73,94.83,27.56,3.1,0.55,25.45,24.72,56.76,2.34,122.77,Kolhapur,1,1,2,Winter,57.8448,107.0,Moderate
01-01-2025,38.62,82.72,17.54,10.68,0.39,26.84,25.45,64.31,0.34,163.65,Amravati,1,1,2,Winter,8.653,83.0,Satisfactory
01-01-2025,63.55,128.92,29.48,3.51,0.31,56.88,28.51,63.84,1.71,158.47,Ulhasnagar,1,1,2,Winter,48.7521,120.0,Moderate
01-01-2025,44.48,130.82,19.72,2.67,0.46,47.62,27.03,59.04,0.65,91.35,Nanded,1,1,2,Winter,17.5695,121.0,Moderate
01-01-2025,63.3,101.27,40.74,2.09,1.05,55.73,23.37,63.39,1.04,124.2,Ahmednagar,1,1,2,Winter,24.3048,109.0,Moderate
01-01-2025,91.04,120.06,45.42,1.03,1.15,16.21,18.24,65.89,2.1,203.9,Pimpri Chinchwad,1,1,2,Winter,38.304,201.0,Poor
01-01-2025,61.03,101.91,18.52,35.29,1.69,34.47,30.58,54.19,1.33,267.05,Navi Mumbai,1,1,2,Winter,40.6714,102.0,Moderate
01-01-2025,40.05,111.04,27.74,8.57,0.62,67.48,26.77,61.97,5.63,102.46,Sangli,1,1,2,Winter,150.7151,108.0,Moderate
01-02-2025,66.1,158.3,65.1,3.23,0.76,27.09,27.19,63.48,0.36,138.06,Mumbai,1,2,3,Winter,9.7884,139.0,Moderate
01-02-2025,45.6,119.82,35.87,3.12,0.54,26.36,24.62,66.73,1.77,218.1,Mira-Bhayandar,1,2,3,Winter,43.5774,114.0,Moderate
01-02-2025,27.29,80.06,28.6,8.0,0.59,59.24,27.13,61.2,1.37,142.5,Virar,1,2,3,Winter,37.1681,80.0,Satisfactory
01-02-2025,51.18,130.8,55.55,5.55,0.7,44.08,28.17,60.81,1.72,285.51,Belapur,1,2,3,Winter,48.4524,121.0,Moderate
01-02-2025,37.28,64.15,16.3,1.82,0.62,26.3,21.69,72.5,3.08,232.74,Dhule,1,2,3,Winter,66.8052,64.0,Satisfactory
01-02-2025,58.56,127.29,19.24,8.86,0.93,45.13,26.18,53.65,1.47,110.44,Bhiwandi,1,2,3,Winter,38.4846,118.0,Moderate
01-02-2025,54.19,114.58,11.82,12.31,0.7,33.68,24.71,90.52,0.65,205.09,Mahad,1,2,3,Winter,16.0615,110.0,Moderate
01-02-2025,45.96,91.03,33.3,5.23,0.58,57.04,25.75,61.65,0.97,130.76,Thane,1,2,3,Winter,24.9775,91.0,Satisfactory
01-02-2025,57.42,146.86,38.21,14.75,1.31,33.13,27.14,68.31,0.73,108.36,Badlapur,1,2,3,Winter,19.8122,131.0,Moderate
01-02-2025,44.55,113.86,5.26,4.39,0.18,16.06,26.51,67.45,0.8,162.09,Kalyan,1,2,3,Winter,21.208,110.0,Moderate
01-02-2025,45.19,111.58,10.3,10.91,0.83,42.29,28.92,58.6,1.02,144.5,Boisar,1,2,3,Winter,29.4984,108.0,Moderate
01-02-2025,58.18,101.73,11.06,1.13,0.18,8.62,17.94,69.98,0.38,108.32,Malegaon,1,2,3,Winter,6.8172,101.0,Moderate
01-02-2025,36.56,94.93,50.46,11.39,0.55,50.64,25.54,54.83,0.45,107.65,Parbhani,1,2,3,Winter,11.493,95.0,Satisfactory
01-02-2025,28.61,115.47,16.71,19.45,0.85,34.78,24.82,48.8,0.33,101.47,Nashik,1,2,3,Winter,8.1906,111.0,Moderate
01-02-2025,41.58,98.54,33.24,5.73,0.94,44.89,24.04,52.56,0.38,243.6,Aurangabad,1,2,3,Winter,9.1352,99.0,Satisfactory
01-02-2025,34.96,116.48,15.76,32.91,0.66,39.67,24.2,43.4,0.84,189.69,Chandrapur,1,2,3,Winter,20.328,111.0,Moderate
01-02-2025,29.79,81.1,14.95,0.61,0.27,41.03,24.63,38.81,0.56,171.47,Jalna,1,2,3,Winter,13.7928,81.0,Satisfactory
